Net Income (In Thousands of Dollars $000) (United Air Lines - All regions),,,,,,,
Year,Quarter,DOMESTIC,LATIN AMERICA,ATLANTIC,PACIFIC,INTERNATIONAL,TOTAL
2018,2,"522,788","-43,025","240,469","-36,098",,"684,133"
2018,3,"504,608","23,346","234,542","73,865",,"836,361"
2018,4,"378,871","3,936","129,963","-49,282",,"463,487"
2018,TOTAL,"1,533,405","-32,519","715,807","-85,614",0,"2,131,078"
2019,1,"178,701","29,620","111,328","-26,890",,"292,760"
2019,2,"668,960","55,209","313,158","14,612",,"1,051,939"
2019,3,"706,791","77,416","241,223","-1,471",,"1,023,959"
2019,4,"501,834","72,646","138,189","-70,317",,"642,351"
2019,TOTAL,"2,056,286","234,890","803,899","-84,066",0,"3,011,009"
2020,1,"-965,139","-177,239","-248,943","-312,716",,"-1,704,038"
2020,2,"-1,100,396","-76,997","-93,636","-354,867",,"-1,625,896"
2020,3,"-1,281,720","-120,359","-220,080","-218,858",,"-1,841,017"
2020,4,"-1,230,614","-224,590","-284,814","-156,448",,"-1,896,466"
2020,TOTAL,"-4,577,869","-599,185","-847,473","-1,042,890",0,"-7,067,417"
2021,1,"-924,151","-200,488","-92,668","-139,421",,"-1,356,728"
2021,2,"-143,507","-117,682","-59,301","-113,336",,"-433,825"
2021,3,"360,401","14,342","51,376","47,138",,"473,256"
2021,4,"-446,829","-109,831","-64,695","-23,828",,"-645,183"
2021,TOTAL,"-1,154,086","-413,660","-165,288","-229,446",0,"-1,962,480"
2022,1,"-844,584","-279,713","-192,348","-60,523",,"-1,377,168"
2022,2,"475,897","-143,688","-48,356","46,088",,"329,940"
2022,3,"566,758",928,"257,212","117,154",,"942,051"
2022,4,"609,070","55,822","59,818","119,647",,"844,356"
2022,TOTAL,"807,141","-366,652","76,326","222,366",0,"739,181"
2023,1,"-156,810","33,779","-138,721","67,685",,"-194,067"
2023,2,"678,907","-24,537","304,966","116,214",,"1,075,548"
2023,3,"529,146","-9,366","414,970","203,072",,"1,137,822"
2023,4,"658,476","-30,898","1,176","-27,400",,"601,355"
2023,TOTAL,"1,709,719","-31,023","582,390","359,571",0,"2,620,658"
2024,1,"134,829","-99,530","-88,488","-70,631",,"-123,820"
2024,2,"835,112","-59,515","400,102","148,289",,"1,323,987"
2024,3,"590,232","-36,585","324,088","86,850",,"964,585"
2024,4,"677,163","-14,336","194,936","128,560",,"986,324"
2024,TOTAL,"2,237,336","-209,965","830,638","293,067",0,"3,151,076"
2025,1,"228,359","37,040","40,043","82,133",,"387,576"
2025,2,"447,359","-41,147","375,920","191,545",,"973,677"
2025,3,"598,511","-82,050","307,265","125,429",,"949,156"
2025,TOTAL,"1,274,229","-86,156","723,229","399,108",0,"2,310,409"
,,,,,,,
Note: All numbers are for scheduled services.,,,,,,,
