Load Factor (passenger-miles as a proportion of available seat-miles in percent (%)) (Spirit Air Lines - All Airports ),,,,
Year,Month,DOMESTIC,INTERNATIONAL,TOTAL
2016,11,81.02,82.75,81.16
2016,12,79.98,84.03,80.3
2016,TOTAL,84.48,81.18,84.17
2017,1,76.5,80.01,76.78
2017,2,81.6,70.28,80.7
2017,3,86.98,72.52,85.86
2017,4,84.02,79.09,83.63
2017,5,86.1,77.77,85.34
2017,6,87.12,85.19,86.96
2017,7,85.96,91.41,86.4
2017,8,86.28,87.49,86.37
2017,9,78.64,81.13,78.79
2017,10,83.53,81.54,83.41
2017,11,81.58,82.7,81.66
2017,12,80.3,85.61,80.74
2017,TOTAL,83.29,81.6,83.16
2018,1,74.48,82.97,75.2
2018,2,81.95,72.97,81.21
2018,3,88.21,78.99,87.43
2018,4,81.41,74.54,80.77
2018,5,85.13,77.36,84.39
2018,6,87.18,84.52,86.94
2018,7,88.22,89.37,88.33
2018,8,88.26,86.62,88.11
2018,9,83.61,76.32,83.03
2018,10,87.17,67.27,85.49
2018,11,85.35,72.83,84.05
2018,12,85.53,81.28,85.03
2018,TOTAL,84.87,79.18,84.34
2019,1,78.89,79.6,78.98
2019,2,82.9,67.04,80.96
2019,3,89.42,73.98,87.56
2019,4,84.44,74.26,83.22
2019,5,85.92,74.04,84.57
2019,6,87.81,81.56,87.09
2019,7,88.47,86.71,88.27
2019,8,84.74,81.92,84.42
2019,9,80.7,74.56,80.11
2019,10,86.67,70.71,85.11
2019,11,82.94,78.69,82.49
2019,12,87,84.92,86.77
2019,TOTAL,85.13,77.6,84.28
2020,1,77.67,82.02,78.17
2020,2,80.45,72.56,79.59
2020,3,55.28,65.07,56.07
2020,4,17.69,56.46,17.98
2020,5,65.4,55.27,64.84
2020,6,79.31,51.56,78.14
2020,7,63.95,63.69,63.94
2020,8,69.31,67.26,69.22
2020,9,75.18,62.73,74.17
2020,10,77.19,64.15,75.69
2020,11,71.37,62.91,70.52
2020,12,69.64,66.5,69.25
2020,TOTAL,69.17,68.84,69.14
2021,1,66.9,53.1,64.87
2021,2,73.92,36.73,68.93
2021,3,82.31,58.31,80.27
2021,4,85.11,71.54,83.97
2021,5,84.02,79.48,83.54
2021,6,85.97,84.42,85.79
2021,7,88.48,83.67,87.86
2021,8,72.94,69.01,72.4
2021,9,72.27,64.11,71.22
2021,10,79.61,63.6,77.37
2021,11,82.53,67.41,80.35
2021,12,83.29,71.78,81.41
2021,TOTAL,80.39,68.15,78.83
2022,1,71.88,64.74,70.81
2022,2,78.66,56.48,75.4
2022,3,87.35,67.96,84.59
2022,4,86.14,73.7,84.28
2022,5,87.58,74.37,85.62
2022,6,88.58,85.91,88.2
2022,7,87.08,90.34,87.54
2022,8,84.59,84.02,84.51
2022,9,77.88,76.87,77.75
2022,10,81.57,77.65,81.09
2022,11,81.54,76.43,80.93
2022,12,81.68,77.08,81.04
2022,TOTAL,82.93,75.48,81.89
2023,1,76.7,78.55,76.96
2023,2,80.63,72.67,79.56
2023,3,86.9,78.12,85.75
2023,4,83.43,76.93,82.58
2023,5,83,73.74,81.77
2023,6,85.6,77.76,84.48
2023,7,86.34,82.78,85.81
2023,8,82.86,76.82,82.02
2023,9,76.69,71.44,76.02
2023,10,81.29,72.78,80.3
2023,11,80.09,74.34,79.43
2023,12,81.16,76.86,80.55
2023,TOTAL,82.07,76.23,81.29
2024,1,76.9,73.26,76.34
2024,2,81.24,69.43,79.57
2024,3,86.53,79.88,85.65
2024,4,81.35,71.42,80.13
2024,5,84.53,77.3,83.7
2024,6,85.73,84.41,85.59
2024,7,86.54,85.95,86.48
2024,8,82.17,79.39,81.91
2024,9,79.07,73.6,78.53
2024,10,83.27,75.2,82.5
2024,11,81.86,75.13,81.19
2024,12,87.11,76.64,85.52
2024,TOTAL,83.13,76.67,82.37
2025,1,79.3,76.46,78.87
2025,2,79.46,70.86,78.54
2025,3,81.28,76.54,80.83
2025,4,77.59,75.41,77.36
2025,5,81.26,73.43,80.42
2025,6,81.01,77.16,80.56
2025,7,82.67,77.83,82.02
2025,8,77.54,73.21,76.95
2025,9,70.34,63.8,69.5
2025,10,76.52,69.46,75.7
2025,11,78.55,69.42,77.21
2025,12,83.65,74.87,81.75
2025,TOTAL,79.13,73.51,78.42
2026,1,77.81,77.79,77.81
2026,TOTAL,77.81,77.79,77.81
,,,,
Note: All numbers are for scheduled services.,,,,
,,,,
SOURCE: Bureau of Transportation Statistics T-100 Segment data.,,,,
