Operating Revenue (In Thousands of Dollars $000) (American Airlines - All regions),,,,,,,
Year,Quarter,DOMESTIC,LATIN AMERICA,ATLANTIC,PACIFIC,INTERNATIONAL,TOTAL
2023,1,"8,630,656","2,123,188","1,169,433","264,569",,"12,187,847"
2023,2,"9,762,724","1,798,323","2,188,759","304,495",,"14,054,301"
2023,3,"9,166,566","1,635,110","2,372,464","306,619",,"13,480,759"
2023,4,"9,307,002","1,847,377","1,590,649","315,644",,"13,060,671"
2023,TOTAL,"36,866,948","7,403,998","7,321,305","1,191,327",0,"52,783,578"
2024,1,"8,873,505","2,116,030","1,214,276","365,061",,"12,568,872"
2024,2,"9,944,815","1,725,242","2,329,272","333,495",,"14,332,823"
2024,3,"9,267,741","1,581,962","2,439,492","355,595",,"13,644,790"
2024,4,"9,728,696","1,882,229","1,598,828","448,092",,"13,657,844"
2024,TOTAL,"37,814,756","7,305,463","7,581,868","1,502,242",0,"54,204,329"
2025,1,"8,751,046","2,139,952","1,186,950","471,523",,"12,549,471"
2025,2,"9,835,244","1,730,592","2,431,043","393,571",,"14,390,449"
2025,3,"9,358,761","1,495,266","2,471,870","362,880",,"13,688,777"
2025,TOTAL,"27,945,052","5,365,810","6,089,864","1,227,973",0,"40,628,698"
,,,,,,,
Note: All numbers are for scheduled services.,,,,,,,
