OP_PROFIT_LOSS,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,REGION,YEAR,QUARTER
97886.08,NK,Spirit Air Lines,D,2018,2
98239.25,HA,Hawaiian Airlines Inc.,D,2018,3
98872.32,NK,Spirit Air Lines,D,2015,1
98980.22,B6,JetBlue Airways,D,2014,4
100146,DL,Delta Air Lines Inc.,L,2012,3
100607.39,G4,Allegiant Air,D,2019,2
100842.24,AA,American Airlines Inc.,L,2017,4
101418.4,HA,Hawaiian Airlines Inc.,D,2018,2
101744.93,HA,Hawaiian Airlines Inc.,D,2016,1
102296,AA,American Airlines Inc.,D,2011,2
102362.18,B6,JetBlue Airways,L,2017,2
102576.94,G4,Allegiant Air,D,2015,1
103518.2,AA,American Airlines Inc.,A,2016,2
103762,DL,Delta Air Lines Inc.,L,2019,1
103768,AA,American Airlines Inc.,L,2009,1
104982,DL,Delta Air Lines Inc.,P,2017,2
105132,DL,Delta Air Lines Inc.,L,2017,2
105805,UA,United Air Lines Inc.,D,2009,3
106881.74,HA,Hawaiian Airlines Inc.,D,2015,4
106937,AS,Alaska Airlines Inc.,D,2018,4
106976,DL,Delta Air Lines Inc.,A,2013,1
107327.14,UA,United Air Lines Inc.,P,2011,2
107579,DL,Delta Air Lines Inc.,L,2016,2
107600,DL,Delta Air Lines Inc.,A,2021,3
107748.83,UA,United Air Lines Inc.,L,2014,4
107984.32,AA,American Airlines Inc.,L,2016,4
108080,DL,Delta Air Lines Inc.,L,2016,3
108552,DL,Delta Air Lines Inc.,P,2019,2
108849.83,HA,Hawaiian Airlines Inc.,D,2017,4
109381.64,UA,United Air Lines Inc.,L,2019,3
109523.85,UA,United Air Lines Inc.,P,2012,2
109544.43,F9,Frontier Airlines Inc.,D,2017,2
109785.05,B6,JetBlue Airways,L,2015,1
110297.64,UA,United Air Lines Inc.,L,2015,1
110299,DL,Delta Air Lines Inc.,L,2018,2
110348.96,NK,Spirit Air Lines,D,2015,4
110450.29,NK,Spirit Air Lines,D,2015,2
110504.26,NK,Spirit Air Lines,D,2016,2
110717.49,NK,Spirit Air Lines,D,2019,3
