Oil_Bucket,loss_quarter_count,total_quarter_count,avg_operating_income,Loss_Probability
Below_50,43,130,53706.16669230769,0.33076923076923076
50_to_80,45,230,203768.29282608695,0.1956521739130435
80_to_100,26,140,153550.9895,0.18571428571428572
100_Plus,10,60,275716.1458333333,0.16666666666666666
